title,author,description,price,quantity,availability,isbn
The role of plant roots in crop production,N  K Fageria,CRC Press,495,9,false,978-3705366739
Soil Organic Matter and Its Role in Crop Production,F.E. Allison (Eds.),Elsevier Science,872,10,true,978-5770924155
Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops,Asaduzzaman Md. (Ed.),Detailed description of this engineering book is currently unavailable.,313,4,true,978-7339781467
"Rice: Origin, History, Technology, and Production (Wiley Series in Crop Science)",C. Wayne Smith,Detailed description of this engineering book is currently unavailable.,990,6,false,978-5718846624
"Corn Crop Production: Growth, Fertilization and Yield",Arn T. Danforth,"Nova Science Publishers, Inc.",397,3,false,978-2488582678
"Agroecosystems: Soils, Climate, Crops, Nutrient Dynamics and Productivity",Krishna,CRC Press,419,6,false,978-3118898779
Crop ecology : productivity and management in agricultural systems,D J Connor,Cambridge University Press,183,7,false,978-6319498901
Nitrogen management in crop production,N  K Fageria,"CRC Press, Taylor & Francis Group",956,10,false,978-6723659160
"Tropical Fruits, 2nd Edition, Volume 1 (Crop Production Science in Horticulture, Volume 20)",Robert E Paull,CAB International,528,1,true,978-6871852072
"Microirrigation for Crop Production: Design, Operation, and Management",Freddie R. Lamm,Elsevier Science,342,2,false,978-8551514929
Phosphorus management in crop production,Nand Kumar Fageria,CRC Press,161,6,true,978-5471273572
Use of Reclaimed Water and Sludge in Food Crop Production,Committee on the Use of Treated Municipal Wastewater Effluents and Sludge in the Production of Crops for Human Consumption,National Academies Press,454,8,false,978-7702523903
Emerging trends of plant physiology for sustainable crop production,Abbas,Apple Academic Press,267,8,false,978-8398088980
Priming and Pretreatment of Seeds and Seedlings: Implication in Plant Stress Tolerance and Enhancing Productivity in Crop Plants,Mirza Hasanuzzaman,Springer Singapore,444,2,false,978-8328832524
Pesticides in Crop Production: Physiological and Biochemical Action,Prabhat Kumar Srivastava (editor),John Wiley & Sons Inc,897,9,true,978-6499963143
"Internal Combustion Engines: Improving Performance, Fuel Economy and Emission. IMech: E, London, 29–30 November 2011",Institution of Mechanical Engineers (IMechE) (Auth.),Woodhead Publishing,578,5,true,978-1215881682
"Multiphase Flow Dynamics 4: Turbulence, Gas Adsorption and Release, Diesel Fuel Properties",Nikolay Ivanov Kolev (auth.),Springer-Verlag Berlin Heidelberg,998,3,false,978-0662754044
"Welder's Handbook: For Gas Shielded Arc Welding, Oxy Fuel Cutting and Plasma Cutting",Unknown Author,Air Products PLC,819,1,true,978-0407581871
Fuel Systems for IC Engines,Institution of Mechanical Engineers (IMechE),Woodhead Publishing,126,1,true,978-7577228235
"Modern power station practice/ 2, Mechanical. Boilers, fuel and ashhandling plant.",publ. for and on behalf of the Central Electricity Generating Board.,Pergamon Pr.,122,5,false,978-6398315874
"Combustion phenomena: selected mechanisms of flame formation, propagation, and extinction",Jozef Jarosinski,CRC Press,798,2,true,978-2270243903
Fuel Systems for IC Engines,Institution of Mechanical Engineers (IMechE) (Auth.),Woodhead Publishing,622,2,true,978-3708296385
Instabilities of Flows: With and Without Heat Transfer and Chemical Reaction (CISM International Centre for Mechanical Sciences),Tapan Sengupta,Detailed description of this engineering book is currently unavailable.,674,8,false,978-1774827578
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control: K-Jetronic (Technical Instruction) Part 2,Adler U.,Detailed description of this engineering book is currently unavailable.,583,4,false,978-6080675149
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control: K-Jetronic (Technical Instruction) Part 1,Adler U.,Detailed description of this engineering book is currently unavailable.,351,1,true,978-8281500777
"Mechanical Boilers, Fuel-, and Ash-Handling Plant",CENTRAL ELECTRICITY GENERATING BOARD,Elsevier Ltd,547,8,false,978-7146863113
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control: K-Jetronic (Technical Instruction) Part 3,Adler U.,Detailed description of this engineering book is currently unavailable.,913,7,true,978-5834992170
Innovations in Fuel Economy and Sustainable Road Transport,Institution of Mechanical Engineers (IMechE) (Auth.),Woodhead Publishing,188,3,false,978-1965194571
Reduced Kinetic Mechanisms for Applications in Combustion Systems (Lecture Notes in Physics),Norbert Peters,Detailed description of this engineering book is currently unavailable.,244,2,false,978-1658174735
Fuel Cell Technology Handbook (Handbook Series for Mechanical Engineering),Gregor Hoogers,CRC Press,979,10,false,978-7745569085
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control K-Jetronic (Technical Instruction),Adler U.,Detailed description of this engineering book is currently unavailable.,393,7,false,978-5932902051
"Solid Fuels Combustion and Gasification - Modeling, Simulation, and Equipment Operation; Volume 174 of Mechanical Engineering Series – Marcel Dekker",Souza-Santos M.L. de,Detailed description of this engineering book is currently unavailable.,952,10,false,978-8450732954
"Innovations in Fuel Economy and Sustainable Road Transport : 8-9 November 2011, Pune, India",Institution of Mechanical Engineers,Woodhead Publishing,621,4,false,978-7341104857
2017 ASME Boiler & Pressure Vessel Code BPVC Section III-Rules for Construction of Nuclear Facility Components-Divison 3-Containment Systems & Transport Packagings for Spent Nuclear Fuel & High Level Radioactive Waste BPVC-III-3 - 2017,American Society of Mechanical Engineers. Boiler and Pressure Vessel Committee,ASME,933,9,true,978-8182013620
"Fuel failure in normal operation of water reactors : experience, mechanisms and management : proceedings of a Technical Committee meeting held in Dimitrovgrad, Russian Federation, 26-29 May 1992",International Atomic Energy Agency,International Atomic Energy Agency ,537,2,false,978-2037251360
A Textbook of Surveying and Levelling,R. Agor,KHANNA PUBLISHERS,557,2,false,978-3888274012
Animal biodiversity:  An outline of higher-level classification and survey of taxonomic richness,ZHI-QIANG ZHANG (ED.),Magnolia Press,467,2,false,978-2743284342
Surveying and Levelling,N N Basak,Mc Graw Hill India,801,4,true,978-0328811557
CURRENT DEMOCRATIC METHODS OF TEACHING ON THE SECONDARY SCHOOL LEVEL IN THE UNITED STATES - A SURVEY OF CLASSROOM TEACHING PRACTICES REPORTED BY TEACHERS IN A QUESTIONNAIRE AND SUPPLEMENTED BY CLASSROOM VISITATION AND OBSERVATION DURING THE SCHOOL YEAR 19,FOLEY,Detailed description of this engineering book is currently unavailable.,127,4,false,978-7135714504
"Fiscal design across levels of government, year 2000 surveys. / Country report",OECD,Organisation for Economic Co-operation and Development,518,1,true,978-2287528005
"A survey of age-grade status, ability levels, general achievement and reading achievement of elementary school children of Amador County",Joyce,Detailed description of this engineering book is currently unavailable.,942,2,true,978-6515705906
Theory of Machines and Mechanisms,John J. Uicker,Oxford University Press,523,2,true,978-7355583498
Principles of Physics: From Quantum Field Theory to Classical Mechanics,Jun Ni,World Scientific Publishing Company,433,1,false,978-6250575826
"Theory of Structures: Fundamentals, Framed Structures, Plates and Shells",Peter Marti,Detailed description of this engineering book is currently unavailable.,168,10,true,978-4681275218
Tensors: The Mathematics of Relativity Theory and Continuum Mechanics,Anadi Jiban Das,Springer,257,9,false,978-6935192488
Theory of Elastic Stability,Stephen P. Timoshenko,Dover Publications,527,7,true,978-1510219917
Theory Of Machine And Mechanisms Si Edition solution manual,Gordon R. Pennock & Joseph E. Shigley John J. Uicker,Oxford University Press,181,5,true,978-8839404283
Strength of Materials: A Unified Theory,Surya Patnaik,Butterworth-Heinemann,784,2,true,978-9208221499
"Measurement and Instrumentation, Second Edition: Theory and Application",Alan S Morris,Academic Press,300,2,true,978-7226884646
Introduction to thermodynamics and kinetic theory of matter,Anatoly I. Burshtein,Wiley-VCH,983,5,true,978-4886172554
Computational Chemistry: Introduction to the Theory and Applications of Molecular and Quantum Mechanics,Errol G. Lewars (auth.),Springer International Publishing,591,8,true,978-0978539620
"Stability of Structures: Elastic, Inelastic, Fracture and Damage Theories  ",Zdenek P Bazant,World Scientific Publishing Company,669,1,true,978-8030139297
"Elasticity. Theory, Applications, and Numerics",Martin H. Sadd (Auth.),Academic Press,371,7,true,978-3142195579
Theory and Analysis of Elastic Plates and Shells,J. N. Reddy,CRC Press,466,8,true,978-5132130079
Theory of Lift: Introductory Computational Aerodynamics in MATLAB®/OCTAVE,G. D. McBain(auth.),Detailed description of this engineering book is currently unavailable.,180,3,true,978-3786830073
"Fundamentals of Robotic Mechanical Systems: Theory, Methods, and Algorithms",Jorge Angeles (auth.),Springer International Publishing,624,9,false,978-3827960279
Advanced mechanics of composite materials and structures,Morozov,Elsevier Science,280,5,false,978-0798470121
"Spectral Theory and Quantum Mechanics: Mathematical Foundations of Quantum Theories, Symmetries and Introduction to the Algebraic Formulation",Valter Moretti,Springer,680,8,false,978-2174200864
Theory of elasticity,Timoshenko S.P.,MGH,189,10,true,978-2415067288
Theory and Problems of Theoretical Mechanics (Schaum's Outline),Murray R. Spiegel,"McGraw-Hill Inc.,US",251,8,true,978-0368900126
Strength of Materials. Elementary Theory and Problems,Timoshenko S.P.,Detailed description of this engineering book is currently unavailable.,317,1,false,978-4776864578
"Python for Probability, Statistics, and Machine Learning",José Unpingco,Springer International Publishing,622,8,true,978-0766040778
Probability and Statistics: A Course for Physicists and Engineers,Arak M. Mathai,De Gruyter,865,10,false,978-2013811018
"Bayesian Statistics The Fun Way: Understanding Statistics And Probability With Star Wars, LEGO, And Rubber Ducks",Will Kurt,No Starch Press,288,2,false,978-6528106404
"Python for Probability, Statistics, and Machine Learning",José Unpingco,Springer,970,10,false,978-7968822957
Schaum's Outline of Probability and Statistics,John Schiller,McGraw-Hill,131,10,false,978-6828347400
Applied Statistics and Probability for Engineers,Douglas C. Montgomery,Wiley,727,3,true,978-3429223627
Probability and statistics by example. Basic probability and statistics,Suhov Y.,CUP,698,9,true,978-7093183986
"Cluster Analysis, Fifth Edition (Wiley Series in Probability and Statistics)  ",Brian S. Everitt,Wiley,723,9,true,978-9683198309
"Statistics 101: From Data Analysis and Predictive Modeling to Measuring Distribution and Determining Probability, Your Essential Guide to Statistics (Adams 101)",David Borman,Detailed description of this engineering book is currently unavailable.,307,8,true,978-0572240194
"Analysis of Financial Time Series, Third Edition (Wiley Series in Probability and Statistics)",Ruey S. Tsay,John Wiley & Sons,423,2,false,978-1266230726
Probability and Statistical Inference (9th Edition),Robert V. Hogg,Pearson,776,3,true,978-5672502950
Probability and statistics for data science : math + R + data,Matloff,CRC Press,759,8,false,978-0964908233
Statistics and Probability for Engineering Applications with Microsoft Excel,William DeCoursey William DeCoursey  Ph.D.  is a chemical engineer who has taught statistics and probability to engineering students for over 15 years at the University of Saskatchewan.,Newnes,228,5,true,978-3783855320
Introduction to Probability and Statistics for Engineers and Scientists,Sheldon M. Ross,Academic Press,249,10,true,978-9741987457
Probability and Statistics for Engineering and the Sciences,Jay L. Devore,Detailed description of this engineering book is currently unavailable.,499,1,true,978-8756610881
Introduction To Probability: Models And Applications,N. Balakrishnan,Wiley-Blackwell,137,9,false,978-8111888993
Probability and Statistics for Engineers and Scientists (9th Edition)  ,Ronald E. Walpole,Prentice Hall,578,8,true,978-0957130225
"Probability and Random Processes, Third Edition",Geoffrey R. Grimmett,"Oxford University Press, USA",148,10,true,978-6598162762
Probability and Statistics,Morris H. Degroot,Addison-Wesley,849,3,true,978-8758309662
Probability for Statistics and Machine Learning: Fundamentals and Advanced Topics,Anirban DasGupta (auth.),Springer-Verlag New York,254,1,true,978-3876811172
Hydrology and water resource management : breakthroughs in research and practice,Information Resources Management Association,IGI Global/Engineering Science Reference,830,8,false,978-4705038508
Curve Number Hydrology: State of the Practice,Environmental and Water Resources Instit,American Society of Civil Engineers,585,10,true,978-4074686292
Irrigation and Drainage Engineering,Peter Waller,Springer,260,10,true,978-0211341711
Canal Automation for Irrigation Systems (ASCE Manuals and Reports on Engineering Practice (MOP)131),Task Committee on Recent Advances in Canal Automation of the Irrigation Delivery and Drainage Systems Committee of the Irrigation and Drainage Council of the Environmental and Water Resources Institute of ASCE,American Society of Civil Engineers,907,3,false,978-7277857220
Irrigation and drainage engineering,Waller,Springer,759,6,false,978-5659299985
Irrigation and Drainage Engineering,Peter Waller & Muluneh Yitayew,Springer,693,4,true,978-3152580548
Irrigation and Drainage Engineering,Peter Waller,Springer,747,9,true,978-5670700198
"Handbook of farm, dairy, and food machinery engineering",Myer Kutz,Academic Press,940,9,true,978-7752071843
"Handbook of farm, dairy, and food machinery  ",Myer Kutz,William Andrew,383,5,false,978-5542622650
"Handbook of farm, dairy, and food machinery",Myer Kutz,William Andrew Pub,666,8,true,978-7949061802
"Handbook of farm, dairy and food machinery engineering",Kutz,Academic Press,834,9,true,978-9498980164
Handbook of Farm Dairy and Food Machinery,Myer Kutz,Springer,626,6,false,978-1749089095
"Handbook of Farm, Dairy and Food Machinery Engineering 3rd Edition 2019",Myer Kutz,Detailed description of this engineering book is currently unavailable.,274,9,false,978-3085685334
"Handbook of farm, dairy, and food machinery",Myer Kutz,William Andrew Pub,397,8,false,978-8830689497
"Handbook of Farm, Dairy, and Food Machinery",Myer Kutz,William Andrew,573,7,false,978-2842781859
An analysis of changes in the degree of concentration in the iron and steel and farm machinery and equiptment industries,McNichols,Detailed description of this engineering book is currently unavailable.,832,8,true,978-2421763551
"Piezoelectric energy harvesting : methods, progress, and challenges",Ilyas,Momentum Press Engineering,709,4,true,978-5964723786
Innovative materials and systems for energy harvesting applications,Losito,"Engineering Science Reference, IGI Global",931,9,false,978-1417612588
Unnatural harvest: how genetic engineering is altering our food,Boyens,Doubleday Canada,282,3,false,978-5075441559
Quality of Ground Water - Guidelines for Selection and Application of Frequently Used Models,Committee on Ground Water Quality of the Environmental Engineering Division of the American Society,American Society of Civil Engineers (ASCE),106,2,true,978-8678451871
Water Pollution: Environmental Impact Assessment of Recycled Wastes on Surface and Ground Waters; Engineering Modeling and Sustainability,Charles J. Werth (auth.),Springer-Verlag Berlin Heidelberg,887,10,true,978-7877856745
Standard guidelines for artificial recharge of ground water,American Society of Civil Engineers,American Society of Civil Engineers,687,6,true,978-7140043343
Quality of Ground Water: Guidelines for Selection and Application of Frequently Used Models,American Society of Civil Engineers,Amer Society of Civil Engineers,416,2,true,978-4708821061
"Solar Engineering of Thermal Processes, Photovoltaics and Wind",John A. Duffie,Wiley VCH,391,3,false,978-3601523064
Wind and Solar Based Energy Systems for Communities,Rupp Carriveau,The Institution of Engineering and Technology,482,1,false,978-1406015824
Solar Engineering Of Thermal Processes: Photovoltaics And Wind,John A. Duffie,John Wiley & Sons,818,3,true,978-5753716177
"Solar Engineering of Thermal Processes, Photovoltaics and Wind",John A. Duffie,John Wiley & Sons,908,7,false,978-2559820014
"Geoinformation: Remote Sensing, Photogrammetry and Geographic Information Systems",Konecny,CRC Press,895,1,true,978-4041910487
"Learning Geospatial Analysis with Python, 2nd Edition: An effective guide to geographic information systems and remote sensing analysis using Python 3",Joel Lawhead,Packt Publishing,408,10,false,978-3767668879
Textbook of Remote Sensing and Geographical Information Systems  ,Reddy,Detailed description of this engineering book is currently unavailable.,459,10,false,978-1757242243
Handbook on Advances in Remote Sensing and Geographic Information Systems: Paradigms and Applications in Forest Landscape Modeling,Margarita N. Favorskaya,Springer International Publishing,833,4,false,978-7297991720
"Geoinformation: Remote Sensing, Photogrammetry and Geographical Information Systems",Gottfried Konecny,CRC Press,402,6,true,978-7059733599
Environmental Modelling with GIS and Remote Sensing (Geographic Information Systems Workshop),Andrew Skidmore,CRC Press,390,8,false,978-9657319000
Learning Geospatial Analysis with Python: An effective guide to geographic information system and remote sensing analysis using Python 3,Lawhead J.,Detailed description of this engineering book is currently unavailable.,479,8,false,978-9721083793
Textbook of remote sensing and geographical information systems,Reddy M.A.,BS,976,3,true,978-2714228664
Remote Sensing and Geographical Information Systems for Resource Management in Developing Countries,A. C. Bird (auth.),Springer Netherlands,585,4,true,978-2667805457
Remote Sensing and Geographical Information Systems in Epidemiology,S.I. Hay,"Academic Press,  Elsevier",738,10,false,978-9465440223
Handbook on Advances in Remote Sensing and Geographic Information Systems: Paradigms and Applications in Forest Landscape Modeling,Margarita N. Favorskaya,Springer,373,8,true,978-2768792290
Learning geospatial analysis with Python : an effective guide to geographic information system and remote sensing analysis using Python 3,Joel Lawhead,Packt Publishing,438,7,false,978-4072645574
"Geoinformation: Remote Sensing, Photogrammetry and Geographic Information Systems",Konecny G.,Taylor & Francis,163,10,true,978-1062618042
"Geoinformation: Remote Sensing, Photogrammetry and Geographic Information Systems, Second Edition",Gottfried Konecny (Author),CRC Press,396,5,true,978-4269450140
"Geoinformation: Remote Sensing, Photogrammetry and Geographical Information Systems",Gottfried Konecny (Author),CRC Press,726,4,false,978-8369260086
"The Human Brain Book: An Illustrated Guide to Its Structure, Function, and Disorders",DK,DK Publishing (Dorling Kindersley),946,7,true,978-2792671580
Vander’s Human Physiology,Eric Widmaier,McGraw-Hill Education,962,3,true,978-8191307945
Strength Training Anatomy - 2nd Edition,Frederic Delavier,Human Kinetics,432,5,true,978-4226281158
"The Concise Human Body Book: An Illustrated Guide to its Structure, Function, and Disorders",Steve Parker,"DK, Dorling Kindersley",954,8,false,978-6743872769
Netter Interactive Atlas of Human Anatomy v3.0,Frank H. Netter MD,Saunders,662,7,false,978-1292222674
Human Anatomy,Frederic H. Martini,Pearson,835,7,true,978-7384966267
Human Anatomy and Physiology,Elaine N. Marieb,Detailed description of this engineering book is currently unavailable.,730,2,true,978-9967622906
Abrahams’ and McMinn’s Clinical Atlas of Human Anatomy,Peter H. Abrahams,Elsevier,951,9,false,978-0466656008
Larsen's Human Embryology,Gary C. Schoenwolf,Churchill Livingstone,364,9,true,978-6337548153
Human anatomy & physiology,Elaine Nicpon Marieb,Pearson,754,10,true,978-9959950365
The Brain and the Nervous System (The Human Body),Kara Rogers,Detailed description of this engineering book is currently unavailable.,992,7,false,978-6938907776
"Bone and Muscle: Structure, Force, and Motion (The Human Body)",Kara Rogers,Detailed description of this engineering book is currently unavailable.,698,10,true,978-4945214008
Color Atlas of Human Body,Adolf Faller,Thieme,420,9,true,978-3176876808
The Digestive System (The Human Body),Kara Rogers,Detailed description of this engineering book is currently unavailable.,952,2,true,978-1563916664
Your Body. How It Works. Human Development,Ted Zerucha,Chelsea House Publications,450,3,true,978-4681333579
Schaum's Outline of Human Anatomy and Physiology,Kent Van De Graaff,McGraw-Hill,979,4,true,978-8050269295
The Respiratory System (The Human Body),Kara Rogers,Detailed description of this engineering book is currently unavailable.,817,8,true,978-0564204973
Sobotta Atlas of Human Anatomy Volume 1-2-3,F. Paulsen and J. Waschke,"Elsevier GmbH, Urban & Fischer Verlag",154,9,true,978-7407445326
The Reproductive System (The Human Body),Kara Rogers,Detailed description of this engineering book is currently unavailable.,400,9,false,978-7994038411
Pilates Anatomy,Rael Isacowitz,Human Kinetics,455,8,true,978-9538694862
"Getting Started with Sensors: Measure the World with Electronics, Arduino, and Raspberry Pi",Kimmo Karvinen,"Maker Media, Inc",991,1,false,978-1178591976
"Measurement, Instrumentation, and Sensors Handbook: Electromagnetic, Optical, Radiation, Chemical, and Biomedical Measurement",John G. Webster,CRC Press,678,5,true,978-1920690836
"Measurement, Instrumentation, and Sensors Handbook, Second Edition: Spatial, Mechanical, Thermal, and Radiation Measurement",John G. Webster,CRC Press,164,4,false,978-7344291702
"The Measurement, Instrumentation and Sensors Handbook",John G. Webster,CRC Press,172,7,true,978-1495191021
Measuring Current Voltage and Power Handbook of Sensors and Actuators Vol 7,K. Iwansson,Elsevier Science,533,5,false,978-3804403324
Sensors: Projects and Experiments to Measure the World with Arduino and Raspberry Pi,Tero Karvinen,Maker Media,293,2,false,978-3613588511
Advanced Interfacing Techniques for Sensors. Measurement Circuits and Systems for Intelligent Sensors,Boby George,Springer,888,1,true,978-2866756668
"Make: Getting Started with Sensors: Measure the World with Electronics, Arduino, and Raspberry Pi",Kimmo Karvinen,O'Reilly Media,928,5,false,978-7901799159
Principles of Electrical Measurement (Sensors Series.),Slawomir Tumanski,Taylor & Francis,410,3,false,978-8743341159
"Handbook of humidity measurement - methods, materials and technologies. Volume 2, Electronic and electrical humidity sensors",KOROTCENKOV,CRC PRESS,348,7,true,978-4716484086
"Measurement, instrumentation, and sensors handbook. Electromagnetic, optical, radiation, chemical, and biomedical measurement",Webster,CRC Press,783,2,false,978-0938254294
"Measurement, Instrumentation, and Sensors Handbook",John G. Webster,CRC Press,104,5,true,978-5141302997
Measurement Systems And Sensors,Waldemar Nawrocki,Artech House Publishers,519,10,true,978-1506663457
"Measurement, Data Analysis, and Sensor Fundamentals for Engineering and Science, 2nd Edition  ",Patrick F. Dunn,CRC Press,645,6,false,978-5175702293
Phasor Measurement Units and Wide Area Monitoring Systems. From the Sensors to the System,Antonello Monti,Academic Press,225,1,true,978-7726769538
"Measurement, Instrumentation, and Sensors Handbook.  Spatial, Mechanical, Thermal and Radiation Measurement",John G. Webster,CRC Press,715,1,false,978-1281702176
"Measurement, instrumentation, and sensors handbook. Electromagnetic, optical, radiation, chemical, and biomedical measurement",Webster,CRC Press,578,8,false,978-0484422366
Measurement systems and sensors,Waldemar Nawrocki,Artech House,391,5,true,978-7625924637
The Tao of Measurement: A Philosophical View of Flow and Sensors,Jesse Yoder,International Society of Automation,182,6,false,978-9869324345
Precision Nanometrology: Sensors and Measuring Systems for Nanomanufacturing,Wei Gao (auth.),Springer-Verlag London,414,3,false,978-6834793403
"Microbiology and Molecular Diagnosis in Pathology. A Comprehensive Review for Board Preparation, Certification and Clinical Practice",Audrey Wanger, Elsevier ,719,7,true,978-8396086601
"Staphylococcus aureus: Microbiology, Pathology, Immunology, Therapy and Prophylaxis",Fabio Bagnoli,Springer International Publishing,878,7,false,978-1235750513
Bacterial Plant Pathology: Cell and Molecular Aspects,David C. Sigee,Detailed description of this engineering book is currently unavailable.,195,1,true,978-3530803559
Fundamentals of Time-Frequency Analyses in Matlab/Octave,Mike X Cohen,sinc(x) Press,951,5,true,978-1679615905
Real-Time Digital Signal Processing: Implementation and Application,Sen M. Kuo,Wiley,455,3,false,978-6334094020
"Advanced signal processing handbook : theory and implementation for radar, sonar, and medical imaging real time systems",Stergiopoulos,CRC Press,598,5,false,978-7385748737
"Real-Time Digital Signal Processing: Fundamentals, Implementations and Applications",Sen M. Kuo,Wiley,912,5,true,978-7242535355
Prentice Discrete-Time Digital Signal Processing,Oppenheim,Prentice-Hall ,855,8,true,978-0785278228
Time-Frequency Signal Analysis and Processing: A Comprehensive Review,Boualem Boashash,Academic Press,319,10,false,978-3473024976
"Advanced Signal Processing Handbook: Theory and Implementation for Radar, Sonar, and Medical Imaging Real Time Systems",Stergios Stergiopoulos,CRC Press,585,6,true,978-9988005330
"Statistical signal processing: detection, estimation, and time series analysis",Louis Scharf,Addison-Wesley Pub. Co,246,3,false,978-2868618414
DSP for Embedded and Real-Time Systems. Expert Guide,Oshana R.,Detailed description of this engineering book is currently unavailable.,890,5,true,978-9975567400
"Real-Time Digital Signal Processing from MATLAB to C with the TMS320C6x DSPs, Third Edition",Morrow,Chapman and Hall/CRC,328,4,false,978-3106328254
"Advanced signal processing on brain event-related potentials : filtering ERPs in time, frequency and space domains sequentially and simultaneously",Cong,World Scientific,308,3,true,978-1844919756
"Quadrature Amplitude Modulation: From Basics to Adaptive Trellis-Coded, Turbo-Equalised and Space-Time Coded OFDM, CDMA and MC-CDMA Systems",Lajos L. Hanzo,Wiley-IEEE Press,413,2,false,978-3617742683
"Time-Frequency Signal Analysis and Processing, Second Edition: A Comprehensive Reference",Boualem Boashash,Academic Press,587,6,true,978-5990921554
Probability and random processes: using MATLAB with applications to continuous and discrete time systems,Donald G. Childers,Richard D Irwin,123,1,false,978-3995824744
"Real-Time Digital Signal Processing: Implementations, Application and Experiments with the TMS320C55X",Sen M. Kuo,Wiley,212,6,false,978-1946318507
Real-time digital signal processing from MATLAB to C with the TMS320C6x DSPs,Wright,CRC Press,819,9,true,978-4052499689
"Signal Analysis: Wavelets, Filter Banks, Time-Frequency Transforms and Applications",Alfred Mertins,Wiley,644,1,true,978-7924537456
